* Measurement data measured by REW V5.20.9
* Source:
* Format:
* Dated: 2022/08/25 23:21:28
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note:
* Measurement: SSP L 7K
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 9.928 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
375.090454 69.902 161.2926
377.808533 69.859 161.4749
380.546265 69.815 161.6595
383.303864 69.772 161.8431
386.081451 69.732 162.0140
388.879150 69.696 162.1685
391.697144 69.664 162.3188
394.535522 69.636 162.4807
397.394501 69.610 162.6585
400.274170 69.580 162.8421
403.174744 69.541 163.0163
406.096313 69.495 163.1776
409.039062 69.448 163.3336
412.003113 69.406 163.4910
414.988647 69.369 163.6573
417.995850 69.331 163.8403
421.024811 69.293 164.0360
424.075714 69.253 164.2298
427.148743 69.213 164.4185
430.244049 69.174 164.6179
433.361786 69.134 164.8425
436.502106 69.095 165.0875
439.665161 69.057 165.3304
442.851166 69.021 165.5512
446.060242 68.988 165.7472
449.292572 68.955 165.9344
452.548340 68.922 166.1367
455.827698 68.888 166.3645
459.130798 68.853 166.6046
462.457855 68.816 166.8382
465.809021 68.779 167.0599
469.184448 68.744 167.2757
472.584381 68.710 167.4938
476.008911 68.680 167.7207
479.458252 68.651 167.9604
482.932617 68.621 168.2121
486.432159 68.585 168.4706
489.957031 68.545 168.7321
493.507477 68.505 169.0015
497.083618 68.467 169.2853
500.685699 68.430 169.5786
504.313873 68.395 169.8696
507.968323 68.362 170.1507
511.649292 68.332 170.4214
515.356934 68.301 170.6880
519.091370 68.271 170.9577
522.852966 68.242 171.2320
526.641724 68.215 171.5089
530.458008 68.189 171.7882
534.301941 68.163 172.0719
538.173706 68.136 172.3628
542.073547 68.105 172.6670
546.001648 68.072 172.9885
549.958191 68.035 173.3219
553.943420 67.998 173.6570
557.957520 67.964 173.9881
562.000671 67.934 174.3175
566.073181 67.906 174.6483
570.175171 67.880 174.9807
574.306885 67.854 175.3181
578.468567 67.828 175.6657
582.660400 67.801 176.0239
586.882568 67.771 176.3889
591.135376 67.739 176.7553
595.419006 67.706 177.1202
599.733643 67.674 177.4863
604.079590 67.645 177.8595
608.456970 67.617 178.2429
612.866089 67.591 178.6345
