* Measurement data measured by REW V5.20.9
* Source:
* Format:
* Dated: 2022/08/25 23:24:17
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note:
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 9.928 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
446.060242 68.693 -16.3684
449.292572 68.655 -16.1500
452.548340 68.620 -15.9347
455.827698 68.589 -15.7241
459.130798 68.558 -15.5147
462.457855 68.525 -15.2969
465.809021 68.490 -15.0629
469.184448 68.455 -14.8168
472.584381 68.424 -14.5695
476.008911 68.394 -14.3242
479.458252 68.364 -14.0763
482.932617 68.332 -13.8260
486.432159 68.295 -13.5768
489.957031 68.256 -13.3269
493.507477 68.216 -13.0716
497.083618 68.180 -12.8072
500.685699 68.147 -12.5327
504.313873 68.117 -12.2513
507.968323 68.086 -11.9709
511.649292 68.051 -11.6977
515.356934 68.016 -11.4301
519.091370 67.981 -11.1601
522.852966 67.948 -10.8791
526.641724 67.918 -10.5833
530.458008 67.892 -10.2764
534.301941 67.867 -9.9666
538.173706 67.842 -9.6597
542.073547 67.815 -9.3553
546.001648 67.784 -9.0484
549.958191 67.750 -8.7358
553.943420 67.714 -8.4186
557.957520 67.680 -8.0977
562.000671 67.650 -7.7722
566.073181 67.624 -7.4394
570.175171 67.601 -7.0962
574.306885 67.579 -6.7427
578.468567 67.556 -6.3821
582.660400 67.530 -6.0184
586.882568 67.500 -5.6543
591.135376 67.468 -5.2901
595.419006 67.435 -4.9240
599.733643 67.403 -4.5524
604.079590 67.373 -4.1727
608.456970 67.344 -3.7858
612.866089 67.318 -3.3961
617.307190 67.293 -3.0061
621.780457 67.271 -2.6130
626.286133 67.249 -2.2132
630.824463 67.229 -1.8090
635.395691 67.208 -1.4045
640.000000 67.187 -0.9984
644.637695 67.166 -0.5872
649.309021 67.145 -0.1716
654.014160 67.124 0.2474
658.753418 67.105 0.6740
663.527039 67.086 1.1113
668.335205 67.068 1.5557
673.178284 67.050 2.0024
678.056396 67.032 2.4521
682.969849 67.013 2.9078
687.918945 66.994 3.3698
692.903870 66.976 3.8337
697.924927 66.958 4.2971
702.982422 66.942 4.7622
708.076477 66.926 5.2324
713.207520 66.911 5.7079
718.375732 66.897 6.1865
723.581360 66.885 6.6673
728.824707 66.874 7.1516
734.106079 66.864 7.6418
739.425720 66.856 8.1377
744.783936 66.848 8.6363
750.180908 66.841 9.1362
755.617065 66.835 9.6405
761.092529 66.831 10.1524
766.607727 66.827 10.6705
772.162903 66.824 11.1907
777.758301 66.821 11.7120
783.394287 66.819 12.2367
789.071045 66.817 12.7653
794.789001 66.815 13.2965
800.548340 66.814 13.8297
806.349487 66.814 14.3633
812.192627 66.813 14.8945
818.078125 66.813 15.4241
824.006226 66.815 15.9569
829.977295 66.817 16.4979
835.991699 66.821 17.0469
842.049622 66.824 17.5987
848.151428 66.829 18.1475
854.297485 66.836 18.6926
860.488098 66.844 19.2379
866.723572 66.854 19.7866
873.004211 66.865 20.3399
879.330322 66.877 20.8971
885.702332 66.890 21.4560
892.120483 66.901 22.0125
898.585144 66.911 22.5629
905.096680 66.922 23.1078
911.655396 66.934 23.6523
918.261597 66.947 24.2023
924.915710 66.961 24.7617
931.618042 66.976 25.3314
938.368896 66.991 25.9074
945.168762 67.005 26.4849
952.017822 67.019 27.0640
958.916504 67.033 27.6495
965.865234 67.049 28.2440
972.864319 67.067 28.8469
979.914062 67.086 29.4577
987.014954 67.107 30.0765
994.167236 67.130 30.6996
1001.371399 67.155 31.3210
1008.627747 67.183 31.9394
1015.936646 67.215 32.5583
1023.298584 67.249 33.1795
1030.713867 67.285 33.8005
1038.182739 67.323 34.4172
1045.705933 67.362 35.0278
1053.283447 67.401 35.6325
1060.916016 67.441 36.2312
1068.603882 67.482 36.8232
1076.347412 67.525 37.4094
1084.147095 67.569 37.9897
1092.003296 67.616 38.5620
1099.916382 67.665 39.1228
1107.886841 67.718 39.6703
1115.915039 67.774 40.2052
1124.001343 67.832 40.7286
1132.146362 67.892 41.2396
1140.350342 67.953 41.7353
1148.613770 68.014 42.2154
1156.937134 68.075 42.6816
1165.320801 68.135 43.1352
1173.765137 68.195 43.5756
1182.270752 68.254 44.0025
1190.838013 68.313 44.4164
1199.467285 68.370 44.8185
1208.159180 68.427 45.2097
1216.913940 68.484 45.5934
1225.732178 68.539 45.9747
1234.614380 68.593 46.3543
1243.560913 68.649 46.7288
1252.572266 68.705 47.0961
1261.648926 68.765 47.4576
1270.791382 68.827 47.8163
1280.000000 68.894 48.1744
1289.275391 68.962 48.5315
1298.618042 69.031 48.8860
1308.028320 69.098 49.2386
1317.506836 69.162 49.5910
1327.054077 69.223 49.9432
1336.670410 69.282 50.2957
1346.356567 69.341 50.6506
1356.112793 69.400 51.0084
1365.939697 69.458 51.3689
1375.837891 69.513 51.7324
1385.807739 69.565 52.0999
1395.849854 69.615 52.4708
1405.964844 69.665 52.8434
1416.152954 69.716 53.2177
1426.415039 69.766 53.5968
1436.751465 69.816 53.9821
1447.162720 69.865 54.3709
1457.649414 69.915 54.7592
1468.212158 69.965 55.1468
1478.851440 70.016 55.5352
1489.567871 70.070 55.9249
1500.361816 70.124 56.3154
1511.234131 70.179 56.7053
1522.185059 70.234 57.0927
1533.215454 70.288 57.4779
1544.325806 70.341 57.8639
1555.516602 70.395 58.2526
1566.788574 70.449 58.6437
1578.142090 70.504 59.0365
1589.578003 70.559 59.4320
1601.096680 70.615 59.8305
1612.698975 70.672 60.2319
1624.385254 70.730 60.6351
1636.156250 70.788 61.0391
1648.012451 70.847 61.4446
1659.954590 70.907 61.8535
1671.983398 70.967 62.2671
1684.099243 71.029 62.6842
1696.302856 71.092 63.1027
1708.594971 71.157 63.5224
1720.976196 71.224 63.9451
1733.447144 71.293 64.3713
1746.008423 71.361 64.8004
1758.660645 71.431 65.2307
1771.404663 71.500 65.6592
1784.240967 71.572 66.0836
1797.170288 71.645 66.5043
1810.193359 71.720 66.9240
1823.310791 71.797 67.3437
1836.523193 71.874 67.7627
1849.831421 71.953 68.1789
1863.236084 72.033 68.5894
1876.737793 72.112 68.9932
1890.337524 72.192 69.3933
1904.035645 72.274 69.7937
1917.833008 72.356 70.1952
1931.730469 72.440 70.5966
1945.728638 72.526 70.9978
1959.828125 72.613 71.3986
1974.029907 72.701 71.7968
1988.334473 72.791 72.1905
2002.742798 72.883 72.5797
2017.255493 72.976 72.9651
2031.873291 73.071 73.3465
2046.597168 73.167 73.7233
2061.427734 73.265 74.0964
2076.365479 73.364 74.4677
2091.411865 73.463 74.8385
2106.566895 73.565 75.2077
2121.832031 73.667 75.5726
2137.207764 73.772 75.9307
2152.694824 73.878 76.2802
2168.294189 73.986 76.6198
2184.006592 74.095 76.9496
2199.832764 74.207 77.2703
2215.773682 74.320 77.5826
2231.830078 74.435 77.8869
2248.002686 74.551 78.1838
2264.292725 74.670 78.4741
2280.700684 74.790 78.7578
2297.227539 74.911 79.0326
2313.874268 75.034 79.2945
2330.641602 75.159 79.5416
2347.530273 75.287 79.7740
2364.541504 75.417 79.9924
2381.676025 75.549 80.1962
2398.934570 75.683 80.3841
2416.318359 75.818 80.5547
2433.827881 75.955 80.7082
2451.464355 76.094 80.8449
2469.228760 76.235 80.9643
2487.121826 76.378 81.0659
2505.144531 76.523 81.1495
2523.297852 76.669 81.2139
2541.582764 76.816 81.2564
2560.000000 76.964 81.2733
2578.550781 77.112 81.2618
2597.236084 77.259 81.2215
2616.056641 77.407 81.1523
2635.013672 77.554 81.0526
2654.108154 77.703 80.9194
2673.340820 77.853 80.7506
2692.713135 78.003 80.5457
2712.225586 78.154 80.3046
2731.879395 78.305 80.0281
2751.675781 78.454 79.7157
2771.615479 78.601 79.3654
2791.699707 78.747 78.9760
2811.929688 78.892 78.5476
2832.305908 79.035 78.0807
2852.830078 79.176 77.5758
2873.502930 79.312 77.0326
2894.325439 79.444 76.4504
2915.298828 79.571 75.8313
2936.424316 79.691 75.1785
2957.702881 79.806 74.4942
2979.135742 79.914 73.7796
3000.723633 80.015 73.0372
3022.468262 80.109 72.2709
3044.370117 80.194 71.4870
3066.430908 80.270 70.6922
3088.651611 80.338 69.8914
3111.033203 80.398 69.0887
3133.577148 80.448 68.2880
3156.284180 80.489 67.4932
3179.156006 80.521 66.7117
3202.193359 80.545 65.9536
3225.397949 80.562 65.2291
3248.770508 80.574 64.5448
3272.312500 80.581 63.9029
3296.024902 80.586 63.3012
3319.909180 80.591 62.7335
3343.966797 80.598 62.1880
3368.198486 80.608 61.6475
3392.605713 80.620 61.0921
3417.189941 80.634 60.5025
3441.952393 80.646 59.8640
